A1B2C3, John, Doe, 45, 2000, 5, 15
B2C3D4, Jane, Smith, 28, 1999, 11, 23
C3D4E5, Emily, Johnson, 32, 2001, 7, 10
D4E5F6, Michael, Brown, 18, 2002, 2, 28
E5F6G7, Chris, Davis, 55, 1998, 3, 12
F6G7H8, Jessica, Wilson, 22, 2003, 9, 5
G7H8I9, Matthew, Martinez, 60, 2000, 4, 22
H8I9J0, Ashley, Anderson, 10, 1997, 1, 19
I9J0K1, Joshua, Taylor, 40, 2001, 6, 7
J0K1L2, Amanda, Thomas, alma, 1998, 8, 16
K1L2M3, Andrew, Hernandez, 33, 2002, 5, 25
L2M3N4, Sarah, Moore, 27, 1999, 12, 4
M3N4O5, David, Martin, 30, 2003, 10, 3
N4O5P6, Megan, Jackson, 29, 1997, 11, 14
O5P6Q7, Daniel, White, 31, 2000, 9, 27
P6Q7R8, Nicole, Harris, 20, 1998, 2, 13
Q7R8S9, James, Clark, 35, 2001, 3, 30
R8S9T0, Rebecca, Lewis, 26, 1999, 6, 8
S9T0U1, Justin, Walker, 15, 2002, 1, 22
T0U1V2, Stephanie, Hall, 50, 2003, 7, 19
